Activation Function,Iteration,Training Time,Accuracy
1,relu,12.2041626,98.94499778747559
2,relu,9.9136153,99.08166527748108
3,relu,9.9545502,99.20833110809326
4,relu,11.123694399999998,99.16499853134155
5,relu,13.462712400000001,98.67333173751831
6,relu,12.179302699999994,98.95333051681519
7,relu,12.139818899999995,98.81500005722046
8,relu,11.723228399999996,99.21000003814697
9,relu,11.230124799999999,98.91499876976013
10,relu,11.136413500000003,99.25166964530945
11,relu,11.233100100000001,99.21166896820068
12,relu,11.2918794,99.01666641235352
13,relu,11.266023099999984,99.24333095550537
14,relu,11.209637700000002,99.11166429519653
15,relu,11.337542200000001,99.08000230789185
16,relu,11.275496000000004,99.15666580200195
17,relu,11.429655400000001,99.11500215530396
18,relu,11.33629160000001,98.96000027656555
19,relu,11.324855799999995,99.18833374977112
20,relu,11.323538900000017,99.08499717712402
21,relu,11.492516099999989,98.7666666507721
22,relu,11.49359579999998,98.77333045005798
23,relu,11.223237200000028,98.989999294281
24,relu,11.412456599999985,99.10666942596436
25,relu,11.809844999999996,98.80499839782715
26,relu,11.695444199999997,99.07666444778442
27,relu,11.506732099999965,99.18333292007446
28,relu,11.534356899999977,99.18666481971741
29,relu,11.534952699999963,99.30499792098999
30,relu,11.274115999999992,99.17166829109192
31,relu,11.218884300000013,99.15000200271606
32,relu,11.339502799999991,99.24166798591614
33,relu,11.355350200000032,98.90499711036682
34,relu,11.231091500000048,99.15000200271606
35,relu,12.055145400000015,99.01833534240723
36,relu,11.27348330000001,99.08499717712402
37,relu,11.557553699999971,99.07166957855225
38,relu,11.352703899999995,99.14833307266235
39,relu,11.363554299999976,99.08666610717773
40,relu,12.07466549999998,99.18000102043152
41,relu,11.43676019999998,99.23166632652283
42,relu,11.580624100000023,99.21500086784363
43,relu,11.420728999999938,98.94333481788635
44,relu,11.642200900000034,98.98499846458435
45,relu,11.388991199999964,99.08666610717773
46,relu,11.310460300000045,98.91666769981384
47,relu,11.50207039999998,99.20333623886108
48,relu,11.44947060000004,98.78833293914795
49,relu,11.2874233,99.06833171844482
50,relu,11.154889400000002,99.04000163078308
51,relu,11.240819100000067,99.14166927337646
52,relu,11.351055700000074,99.02833104133606
53,relu,11.326099499999941,98.7933337688446
54,relu,11.197865200000024,99.11666512489319
55,relu,11.409423299999958,99.21166896820068
56,relu,11.455784199999925,99.1183340549469
57,relu,11.36697509999999,99.08499717712402
58,relu,11.322938499999964,98.97833466529846
59,relu,11.345833599999992,99.32500123977661
60,relu,11.399050399999965,99.23333525657654
61,relu,11.219484299999976,99.07500147819519
62,relu,11.172947700000009,99.25500154495239
63,relu,11.433961400000044,99.27999973297119
64,relu,11.212570000000028,99.08999800682068
65,relu,11.63880949999998,99.05999898910522
66,relu,11.349703599999998,99.15833473205566
67,relu,11.599970999999982,99.15833473205566
68,relu,11.637483300000099,98.9983320236206
69,relu,11.15525409999998,99.2816686630249
70,relu,11.341956099999948,99.13833141326904
71,relu,11.416135599999961,99.06333088874817
72,relu,11.33367510000005,99.02666807174683
73,relu,11.450138400000014,99.20666813850403
74,relu,11.351193499999908,99.07000064849854
75,relu,11.351464999999962,99.19833540916443
76,relu,11.471907100000067,99.07666444778442
77,relu,11.255045899999914,98.86666536331177
78,relu,11.647545700000023,99.26499724388123
79,relu,11.427832999999964,99.19000267982483
80,relu,11.368285899999933,99.13333058357239
81,relu,11.28487270000005,99.08999800682068
82,relu,11.333953800000018,99.1599977016449
83,relu,11.327742199999875,99.11166429519653
84,relu,11.511057299999948,99.0933358669281
85,relu,11.281957300000158,99.1016685962677
86,relu,11.326349899999968,99.16499853134155
87,relu,12.156613200000038,98.826664686203
88,relu,11.395889100000204,99.11166429519653
89,relu,11.42259369999988,98.98333549499512
90,relu,11.58098589999986,99.09833073616028
91,relu,11.559083500000042,99.23333525657654
92,relu,11.280099899999868,99.25666451454163
93,relu,11.227651599999945,99.26666617393494
94,relu,11.638546099999985,99.3483304977417
95,relu,11.475386000000071,99.09666776657104
96,relu,11.184877099999994,99.1349995136261
97,relu,11.355227900000045,99.03166890144348
98,relu,11.351175499999954,99.08833503723145
99,relu,11.347356900000023,99.05333518981934
100,relu,11.498346099999935,99.20833110809326
1,sigmoid,11.190912600000047,97.49166369438171
2,sigmoid,11.283042800000203,97.53999710083008
3,sigmoid,11.280468700000029,97.32166528701782
4,sigmoid,11.519118299999946,97.3883330821991
5,sigmoid,11.441974999999957,97.45500087738037
6,sigmoid,11.407945400000017,97.57833480834961
7,sigmoid,11.28836750000005,97.5766658782959
8,sigmoid,11.690445299999965,97.50666618347168
9,sigmoid,11.39620949999994,97.40333557128906
10,sigmoid,11.010220799999843,97.46999740600586
11,sigmoid,10.929518099999996,97.40999937057495
12,sigmoid,10.962427899999966,97.49833345413208
13,sigmoid,11.01558050000017,97.42500185966492
14,sigmoid,11.273909100000083,97.39500284194946
15,sigmoid,11.212314900000138,97.27166891098022
16,sigmoid,11.175656700000218,97.39999771118164
17,sigmoid,10.997677099999919,97.42666482925415
18,sigmoid,11.14015389999986,97.50000238418579
19,sigmoid,11.058790799999997,97.44166731834412
20,sigmoid,11.055772299999944,97.57333397865295
21,sigmoid,11.040543900000102,97.69499897956848
22,sigmoid,11.094554199999948,97.40999937057495
23,sigmoid,11.028606800000034,97.44166731834412
24,sigmoid,11.153544099999863,97.36666679382324
25,sigmoid,11.299315800000159,97.59166836738586
26,sigmoid,11.045626200000015,97.48166799545288
27,sigmoid,10.920779699999912,97.57000207901001
28,sigmoid,11.148178299999927,97.50833511352539
29,sigmoid,11.03469569999993,97.53000140190125
30,sigmoid,11.37660290000008,97.59666919708252
31,sigmoid,11.05476849999991,97.55333065986633
32,sigmoid,11.0460243,97.51333594322205
33,sigmoid,11.266224599999987,97.40333557128906
34,sigmoid,11.114263599999958,97.45333194732666
35,sigmoid,11.827972700000146,97.54833579063416
36,sigmoid,11.08044700000005,97.46000170707703
37,sigmoid,10.982884600000034,97.54499793052673
38,sigmoid,10.978442800000039,97.46999740600586
39,sigmoid,10.948367599999983,97.56666421890259
40,sigmoid,11.11287920000018,97.3550021648407
41,sigmoid,11.069194799999877,97.57833480834961
42,sigmoid,11.122028499999942,97.50833511352539
43,sigmoid,11.019735699999956,97.47666716575623
44,sigmoid,11.055605600000035,97.5683331489563
45,sigmoid,11.134352000000035,97.46666550636292
46,sigmoid,11.021555600000056,97.51166701316833
47,sigmoid,11.164206700000022,97.36666679382324
48,sigmoid,11.227603300000055,97.50833511352539
49,sigmoid,10.942169299999932,97.61666655540466
50,sigmoid,11.001527399999986,97.38666415214539
51,sigmoid,11.111570100000108,97.52833247184753
52,sigmoid,11.171313800000007,97.39000201225281
53,sigmoid,10.891464000000042,97.5433349609375
54,sigmoid,11.196077399999922,97.50999808311462
55,sigmoid,11.01339340000004,97.4216639995575
56,sigmoid,11.19594619999998,97.29999899864197
57,sigmoid,11.088633099999925,97.53999710083008
58,sigmoid,11.005110699999932,97.41166830062866
59,sigmoid,11.202410599999894,97.6016640663147
60,sigmoid,10.984975600000098,97.49500155448914
61,sigmoid,11.151445100000046,97.4233329296112
62,sigmoid,11.247552800000221,97.48333096504211
63,sigmoid,11.023142300000018,97.51166701316833
64,sigmoid,11.033179800000198,97.4049985408783
65,sigmoid,11.054972200000066,97.49333262443542
66,sigmoid,11.127163200000268,97.38166928291321
67,sigmoid,10.94485050000003,97.35999703407288
68,sigmoid,11.036137600000075,97.50666618347168
69,sigmoid,10.926892999999836,97.49333262443542
70,sigmoid,10.948405900000125,97.44833111763
71,sigmoid,10.864523499999905,97.4133312702179
72,sigmoid,11.053885400000127,97.29833602905273
73,sigmoid,10.945668800000021,97.44499921798706
74,sigmoid,11.202819099999942,97.48666882514954
75,sigmoid,11.045930900000258,97.31500148773193
76,sigmoid,10.86805060000006,97.22999930381775
77,sigmoid,11.172732400000314,97.40166664123535
78,sigmoid,11.017261500000131,97.47833609580994
79,sigmoid,11.154871200000343,97.47166633605957
80,sigmoid,11.16040299999986,97.47999906539917
81,sigmoid,10.977914900000087,97.28500247001648
82,sigmoid,11.040637099999913,97.39333391189575
83,sigmoid,11.599282099999982,97.39000201225281
84,sigmoid,11.418531999999686,97.62166738510132
85,sigmoid,11.060269000000062,97.48333096504211
86,sigmoid,11.13113629999998,97.43000268936157
87,sigmoid,11.142548100000113,97.57000207901001
88,sigmoid,11.167511999999988,97.53000140190125
89,sigmoid,10.890423499999997,97.43000268936157
90,sigmoid,10.934443600000122,97.41666913032532
91,sigmoid,11.074022799999966,97.53999710083008
92,sigmoid,10.957856099999844,97.51999974250793
93,sigmoid,11.284985900000265,97.35666513442993
94,sigmoid,11.024198499999784,97.33499884605408
95,sigmoid,11.048991199999818,97.35166430473328
96,sigmoid,11.11800600000015,97.4316656589508
97,sigmoid,10.949541200000112,97.50999808311462
98,sigmoid,11.016333099999883,97.42500185966492
99,sigmoid,11.15467260000014,97.64166474342346
100,sigmoid,10.985042299999805,97.45833277702332
1,tanh,11.052845300000172,98.92833232879639
2,tanh,11.101030100000116,98.9883303642273
3,tanh,11.319081300000107,98.97500276565552
4,tanh,11.05657439999959,98.72666597366333
5,tanh,11.098727000000054,98.83000254631042
6,tanh,11.137605200000053,99.04666543006897
7,tanh,10.86604720000014,99.03333187103271
8,tanh,11.018007199999829,98.83333444595337
9,tanh,10.95786649999991,98.83333444595337
10,tanh,10.949102999999923,98.90166521072388
11,tanh,11.28945399999975,98.94000291824341
12,tanh,10.90828590000001,98.97666573524475
13,tanh,11.122790100000202,98.9216685295105
14,tanh,11.084122899999784,98.65333437919617
15,tanh,11.06593759999987,98.94499778747559
16,tanh,11.118381899999804,98.9733338356018
17,tanh,10.962110799999664,98.7666666507721
18,tanh,11.131105500000103,99.00833368301392
19,tanh,11.040553000000273,98.87999892234802
20,tanh,11.165213899999799,99.06333088874817
21,tanh,11.020714300000236,98.91999959945679
22,tanh,10.989590000000135,99.00500178337097
23,tanh,11.098155900000165,98.84333610534668
24,tanh,11.231503599999996,99.00000095367432
25,tanh,10.995985200000177,99.0149974822998
26,tanh,11.084418899999946,98.82333278656006
27,tanh,11.072756799999752,98.92833232879639
28,tanh,10.950050500000089,98.9383339881897
29,tanh,10.86595350000016,98.95833134651184
30,tanh,11.212985099999969,98.72333407402039
31,tanh,11.135645299999851,98.94000291824341
32,tanh,11.85980010000003,98.80833625793457
33,tanh,10.910661000000346,98.99500012397766
34,tanh,11.134180600000036,98.94833564758301
35,tanh,12.068046400000185,98.97500276565552
36,tanh,11.172938799999883,98.99333119392395
37,tanh,10.980200299999979,98.99500012397766
38,tanh,11.206080800000109,98.99333119392395
39,tanh,11.153227900000275,99.00166392326355
40,tanh,11.092879599999833,99.09999966621399
41,tanh,11.131521999999677,98.99666905403137
42,tanh,11.113185199999862,99.06499981880188
43,tanh,11.134338200000002,98.92333149909973
44,tanh,11.031936399999722,98.86000156402588
45,tanh,11.08780939999997,99.03166890144348
46,tanh,11.128872199999932,99.13333058357239
47,tanh,11.211307399999896,98.85833263397217
48,tanh,10.968153799999982,99.10666942596436
49,tanh,11.187896500000079,98.88166785240173
50,tanh,11.298537900000156,98.9300012588501
51,tanh,10.933814600000005,98.76166582107544
52,tanh,11.161004199999752,98.95833134651184
53,tanh,11.088186899999982,98.89000058174133
54,tanh,11.097223799999938,98.83333444595337
55,tanh,11.232694300000276,98.86166453361511
56,tanh,11.74632100000008,98.78833293914795
57,tanh,11.165031999999883,99.01833534240723
58,tanh,11.187808499999846,99.00166392326355
59,tanh,11.10271899999998,99.02166724205017
60,tanh,11.12066509999977,99.09999966621399
61,tanh,11.102141200000005,99.06166791915894
62,tanh,10.8883593999999,98.71166944503784
63,tanh,10.944138700000167,98.9883303642273
64,tanh,11.022329200000058,98.96666407585144
65,tanh,11.099143500000082,98.826664686203
66,tanh,11.06439330000012,99.05666708946228
67,tanh,10.942682800000057,98.96833300590515
68,tanh,10.893930300000193,98.89500141143799
69,tanh,10.957236400000056,98.92666935920715
70,tanh,11.12232959999983,98.9716649055481
71,tanh,11.371704099999988,99.01666641235352
72,tanh,10.867476800000077,99.02833104133606
73,tanh,10.951104400000077,99.05499815940857
74,tanh,11.108481400000073,99.08499717712402
75,tanh,11.141436299999896,99.05499815940857
76,tanh,11.017820499999743,98.64000082015991
77,tanh,11.084939900000336,98.95833134651184
78,tanh,11.142636899999616,98.99166822433472
79,tanh,11.156813799999782,99.08666610717773
80,tanh,11.629389200000332,98.90000224113464
81,tanh,11.103091200000108,98.99666905403137
82,tanh,11.062516399999822,98.86666536331177
83,tanh,11.165968199999952,99.02999997138977
84,tanh,11.183460900000227,98.94999861717224
85,tanh,10.96067290000019,99.11166429519653
86,tanh,11.193604300000061,98.88166785240173
87,tanh,11.09360340000012,98.88333082199097
88,tanh,11.118707900000118,98.94000291824341
89,tanh,10.99430889999985,99.04000163078308
90,tanh,11.067226799999844,99.03166890144348
91,tanh,10.957630999999765,98.99500012397766
92,tanh,11.088825199999974,99.02333617210388
93,tanh,11.000538700000106,98.82833361625671
94,tanh,11.010576199999832,98.50333333015442
95,tanh,11.122044900000219,98.9883303642273
96,tanh,11.03704850000031,98.96666407585144
97,tanh,11.208048999999846,99.08999800682068
98,tanh,11.25690160000022,99.05666708946228
99,tanh,10.999132700000246,98.90499711036682
100,tanh,11.061222599999837,99.02833104133606
